"","text"
"292","  ubah  ratingnya ya tokoa kalo kebijakan bebas ongkir  d  bersamaan sm cashback    bintang as kayaknya"
"293","oke"
"294","trima kasih"
"295","o nya biar   "
"296"," dekalau kebijakannya  nggak  digabung  voucher cashback  gratis ongkir   ganti  markete  aja terima kasih loh   menemani"
"297"," dakuasyikk"
"298","simmudah  diskon menarik"
"299","ok"
"300"," i okurir gosend instan    cek o  i o biaya kngkir   salah  kurirnya diganti  si ceregular saran  o tlg jgn ditaman  o taukuomo yg  dii  kurir yg sdh dih    tercampur"
"301","udh gk  gratis ongkir  voucher belanja jd mikir kalo mo belanja  tokpei"
"302","tokoa membantu  belanja online bebas ongkir melaluin ongkir  ru"
"303","ay love you"
"304","  amongkir  cashback    satuin "
"305"," udah  tambahkan sistem cod  bayar ditempat"
"306","gratisnya ongkirnya murah "
"307","bagus banget"
"308","goood terbaikk"
"309","aasi gak jelasn t  seminggu   samangan donlod aasi "
"310","ribet"
"311","teta bakar uang     "
"312","aasi nya ko  error yalist menu nya   hilang   icontoh nya  daftar o"
"313"," aq  dadana refund yaal trnsaksinya g brlanjutdan anehnya history transaksinya ilangterus gmn aq  melasedangkan  melaharus memilih transaksi yg bersangkutan  nominalnya terbilang keciltu    plis  kasih masukan"
"314","bagus"
"315","mantat"
"316","market e teraman sih taejak gabung  gjek  eelit cashback ya"
"317","kecewa"
"318","keren"
"319"," "
"320","ayo semangat teknisi goto su cdiaiki sistem ayaran  gosy  cekout barang ga   metode ayaran   lem"
"321","metode ayaran gojadi  bermasalah  ah oren aja  makasih"
"322","kenaesanan    batalkan h kenakun   nonaktifkan jugabiarin     nya "
"323","aasi belanja  membantu"
"324","gw download  cmn  liat bts doang ya   belanja ko hyunk"
"325","goodd"
"326","   cashbackdiscount  gratis ongkir bersamaan   berh  tokoa  biaya layanan k ok  angkir  mahal ok  cari toko     kalo  taidak  gratong  cbdiskon bye"
"327","woi kenaaya  gagal beli a klo  ovo agi  o dasar gak  download fitur  gagal mending lazada"
"328"," beli keuan vaangat susah"
"329","tokoa  mudah  hack  ku kejahatan yg bersifat menibaru   terkena  dimana akun toksaya diretas  saldo toksaya  transaksi elian a  juta    solusi  langkah yg kootif  k tokoa"
"330","nice"
"331"," coba  "
"332","tokoa     kemunduran  ngek    suruh menggabung o yg   gk   gabunguma ngasih gratis ongkir cashbackatau diskon   eli memilih gratis ongkir yg   yg  sediakan jasa kirimjadi gk   i o yg  sediakan toped"
"333","   buruk aja"
"334","manta"
"335"," biaya admin  setiaansaksi voucher gratis     bersamaan kualitas exsi tokoa  mengecewakan"
"336"," menyulitkan nggan"
"337"," t nansaya  kurir jt koq  diaimdigudangmana tanggung  tojangan  enak  mwrugikan kai angat au   berkembang tanita"
"338","gak  gak  bayar cod    udh gak  auto unistal"
"339","keren"
"340","mantap"
"341"," tocare  keluhan     menyelesaikan masalahhanya  temetidak  membantu customer parah"
"342","saldo refun    buka"
"343","aokoa   bagus kolom wishlist nya jelek    menghabarang yg  sukai    awalatas mohon iki  si dlu"
"344","mantap"
"345","  uninstall   install ulang  kenaadi    haini   reset ik teta  tolong saran nya k tok"
"346","aasi toko a tukang ti aasi ak  bebas ongkir bohong "
"347","yanan nya "
"348","parahlah  "
"349","    milih  gratis ongkir    voucher o kocak "
"350","mantaaaksessss"
"351","   jelek nih a contohnya voucher      dii bersamaan ongkirnya mahal  jarang ngasih gratis ongkir  biaya nganan aasi   ga     kurangnya dibandingkan  yg "
"352","sukses  tokoa"
"353","tanks toko a"
"354","mantulini semoga  o  menguntungkan "
"355","okehhh"
"356","jkt"
"357","buruk"
"358","kecewa ndak  gratis ongkir "
"359","dah gk semangat belanja disinibanyak syarat  kebijakanmasalah ongkir  voucher dah gk asikalternatif yaa lazada  yg rame"
"360","beli t data  aasi   "
"361","      mandaftar   maaf kesalahan server   coba kain     trus "
"362","mantap"
"363","mantap"
"364","oke la"
"365","aasi nya i love you banget "
"366","jialan   untung "
"367","mantalikasi tokoa gak abal    kean  nggan"
"368"," bagus"
"369","terimakasih ya kk sdh membantu asalahan   doble transfer resnya cesekali"
"370","mantapp"
"371","kereenn tokped"
"372"," rekomended   ama kali cobacoba n barang  tokoa tanggal  nov malam  kaget   sambarangnya  nov   gratis ongkir  aja sih senang aja butuh   aja udah samuga  nya   exs"
"373","please  tokoa o free ongkir  cashback   bersamaankarena  tuh membantu banget  customerbanyak lho  comn bilang  h salah  aja  free ongkir  cashback ga     bersamaankalo kaya gini  customer    kabur ga  belanja   tokoaoya   adain  fitur n telur  telurnya cashback koin gokarena  membantu bgt  nambah koin gopay"
